date,time,emp_id,full_name,department,punch_type,status,confidence
2026-08-29,20:01:35,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:06:50,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:06:59,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:07:06,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:07:23,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:07:35,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:07:42,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:12:22,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:12:31,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:12:41,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:13:01,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:13:21,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:14:03,0001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:14:12,0001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:17:51,001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:17:59,001,sulai,iot,Check-Out,Completed,98
2026-08-29,20:18:06,001,sulai,iot,Check-In,On-Time,98
2026-08-29,20:18:13,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:08:17,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:28:25,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:28:35,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:30:23,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:31:46,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:39:22,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:39:35,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:39:55,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:40:03,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:54:14,001,sulai,iot,Check-Out,Completed,98
2026-08-29,22:54:33,001,sulai,iot,Check-In,On-Time,98
2026-08-29,22:56:19,001,sulai,iot,Check-Out,Completed,98
2026-08-30,11:34:33,001,sulai,iot,Check-In,On-Time,98
2026-08-30,11:46:24,001,sulai,iot,Check-Out,Completed,98
2026-08-30,11:46:32,001,sulai,iot,Check-In,On-Time,98
2026-08-30,11:46:36,001,sulai,iot,Check-Out,Completed,98
2026-08-30,11:59:03,001,sulai,iot,Check-In,On-Time,98
2026-08-30,11:59:10,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:15:59,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:16:07,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:16:20,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:16:26,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:16:38,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:16:43,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:16:49,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:16:58,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:17:11,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:17:20,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:17:32,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:17:39,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:17:48,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:17:55,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:18:02,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:18:08,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:18:14,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:18:20,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:25:51,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:26:00,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:26:09,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:26:16,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:27:13,001,sulai,iot,Check-In,On-Time,98
2026-08-30,12:27:39,001,sulai,iot,Check-Out,Completed,98
2026-08-30,12:41:48,001,sulai,iot,Check-In,On-Time,98
2026-08-30,13:37:24,001,sulai,iot,Check-Out,Completed,98
2026-08-30,13:37:31,001,sulai,iot,Check-In,On-Time,98
2026-8-30,12:53:20,001,sulai,iot,Check-In,On-Time,98
2026-8-30,12:56:20,001,sulai,iot,Check-Out,Completed,98
2026-8-30,12:56:27,001,sulai,iot,Check-In,On-Time,98
2026-8-30,12:57:27,001,sulai,iot,Check-Out,Completed,98
2026-8-30,13:24:32,001,sulai,iot,Check-In,On-Time,98
2026-8-30,13:24:37,001,sulai,iot,Check-Out,Completed,98
2026-8-30,13:37:10,001,sulai,iot,Check-In,On-Time,98
2026-08-30,13:39:30,001,sulai,iot,Check-Out,Completed,98
2026-08-30,13:39:38,001,sulai,iot,Check-In,On-Time,98
2026-08-30,14:19:45,001,sulai,iot,Check-Out,Completed,98
2026-08-30,14:19:51,001,sulai,iot,Check-In,On-Time,98
2026-08-30,14:19:56,001,sulai,iot,Check-Out,Completed,98
2026-08-30,15:34:19,001,sulai,iot,Check-In,On-Time,98
2026-08-30,15:34:26,001,sulai,iot,Check-Out,Completed,98
2026-08-30,15:35:16,001,sulai,iot,Check-In,On-Time,98
2026-08-30,15:35:29,001,sulai,iot,Check-Out,Completed,98
2026-08-30,15:35:40,001,sulai,iot,Check-In,On-Time,98
2026-08-30,15:36:18,001,sulai,iot,Check-Out,Completed,98
2026-08-30,15:38:09,001,sulai,iot,Check-In,On-Time,98
2026-8-30,15:56:3,001,sulai,iot,Check-Out,Completed,98
2026-8-30,15:56:15,001,sulai,iot,Check-In,On-Time,98
2026-8-30,15:57:12,001,sulai,iot,Check-Out,Completed,98
2026-8-30,15:57:20,001,sulai,iot,Check-In,On-Time,98
2026-08-30,17:11:37,001,sulai,iot,Check-Out,Completed,98
2026-08-30,17:11:53,001,sulai,iot,Check-In,On-Time,98
2026-08-30,17:13:27,001,sulai,iot,Check-Out,Completed,98
2026-08-30,17:15:40,1234,mid,jk,Check-In,On-Time,98
2026-08-30,17:18:11,1234,mid,jk,Check-Out,Completed,98
2026-08-30,17:21:41,001,sulai,iot,Check-In,On-Time,98
2026-8-30,17:25:56,fghjk,dfghj,dfghjkm,Check-In,On-Time,98
2026-8-30,17:26:7,001,sulai,iot,Check-Out,Completed,98
2026-08-30,17:28:53,001,sulai,iot,Check-Out,Completed,98
2026-08-30,17:49:56,mid,jk,jkkil,Check-In,On-Time,98
